Rk,Name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP,Year,Team,Wins,Losses,Previous TS%,Previous TRB%,Previous AST%,Previous BPM,Previous VORP,Previous WS,Previous WS/48,Rookie,Previous VORP Team Rank,Previous TS% Team Rank,Previous TRB% Team Rank,Previous AST% Team Rank,Previous BPM Team Rank,Previous WS Team Rank,Previous WS/48 Team Rank,Top 5 Previous VORP Team Rank,Top 5 Previous TS% Team Rank,Top 5 Previous TRB% Team Rank,Top 5 Previous AST% Team Rank,Top 5 Previous BPM Team Rank,Top 5 Previous WS Team Rank,Top 5 Previous WS/48 Team Rank
4,Jermaine O'Neal,27,51,1802,20.4,0.53,0.012,0.457,6.7,23.2,15.2,14.9,0.8,4.7,13.5,28.9,,1.4,3.5,4.9,0.131,,0.6,1.7,2.3,2.0,2006,IND,41,41,0.52,15.1,12.8,1.8,1.5,3.8,0.118,False,3.0,8.0,2.0,7.0,3.0,6.0,4.0,True,False,True,False,True,False,True
5,Danny Granger,22,78,1765,14.7,0.54,0.195,0.31,8.8,16.0,12.5,8.8,1.8,2.6,12.8,16.4,,2.1,3.0,5.1,0.139,,-0.7,1.8,1.1,1.4,2006,IND,41,41,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,15.0,15.0,15.0,15.0,15.0,15.0,15.0,False,False,False,False,False,False,False
6,Jeff Foster,29,63,1581,15.1,0.581,0.016,0.636,16.9,24.8,20.9,5.1,1.4,1.2,16.7,11.3,,2.8,2.9,5.7,0.174,,-0.3,0.4,0.0,0.8,2006,IND,41,41,0.551,20.6,4.8,-0.3,0.7,5.4,0.162,False,7.0,5.0,1.0,11.0,8.0,2.0,2.0,False,True,True,False,False,True,True
7,Šarūnas Jasikevičius,29,75,1557,12.9,0.561,0.55,0.31,1.5,9.6,5.7,24.4,1.4,0.2,19.2,18.0,,1.6,1.7,3.3,0.103,,0.1,0.0,0.1,0.9,2006,IND,41,41,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,16.0,16.0,16.0,16.0,16.0,16.0,16.0,False,False,False,False,False,False,False
8,Peja Stojaković,28,40,1454,19.1,0.588,0.379,0.261,3.7,15.8,9.9,9.0,1.0,0.4,7.3,22.9,,3.8,1.8,5.6,0.184,,3.5,-0.2,3.3,1.9,2006,IND,41,41,0.584,6.3,8.7,1.2,2.1,7.3,0.13699999999999998,False,1.0,3.0,13.0,9.0,4.0,1.0,3.0,True,True,False,False,True,True,True
9,Austin Croshere,30,50,1148,15.2,0.618,0.491,0.358,6.4,19.8,13.3,9.1,1.0,0.4,12.7,15.3,,2.5,1.7,4.1,0.173,,1.5,0.6,2.1,1.2,2006,IND,41,41,0.531,12.2,9.5,-0.7,0.6,4.1,0.107,False,8.0,6.0,4.0,8.0,9.0,4.0,6.0,False,False,True,False,False,True,False
10,Jamaal Tinsley,27,42,1122,12.1,0.458,0.181,0.236,3.7,9.8,6.8,33.3,2.3,0.4,20.4,22.2,,-0.8,1.5,0.7,0.031,,-1.8,0.3,-1.6,0.1,2006,IND,41,41,0.518,7.3,39.3,3.3,1.7,2.8,0.102,False,2.0,10.0,10.0,1.0,2.0,8.0,9.0,True,False,False,True,True,False,False
11,David Harrison,23,67,1034,11.8,0.519,0.0,0.5920000000000001,9.7,18.4,14.2,2.4,1.2,4.2,17.6,20.2,,-0.4,1.9,1.5,0.068,,-5.1,1.1,-4.0,-0.5,2006,IND,41,41,0.589,10.6,3.2,-2.8,-0.2,1.4,0.09,False,13.0,2.0,5.0,14.0,12.0,10.0,10.0,False,True,True,False,False,False,False
12,Scot Pollard,30,45,771,12.3,0.495,0.0,0.247,11.3,21.0,16.3,5.1,2.6,1.9,13.2,11.9,,0.6,1.6,2.1,0.134,,-2.6,2.1,-0.5,0.3,2006,IND,41,41,0.506,14.1,3.6,-1.9,0.0,1.9,0.104,False,11.0,11.0,3.0,13.0,11.0,9.0,7.0,False,False,True,False,False,False,False
13,Metta World Peace,26,16,603,18.1,0.534,0.228,0.511,5.1,9.6,7.5,11.1,3.7,1.3,12.9,25.7,,0.4,1.1,1.5,0.117,,0.8,2.2,3.0,0.8,2006,IND,41,41,0.608,9.2,16.2,4.8,0.5,1.3,0.219,False,9.0,1.0,6.0,3.0,1.0,11.0,1.0,False,True,False,True,True,False,True
14,Eddie Gill,27,41,122,9.9,0.408,0.511,0.511,0.0,13.8,7.1,15.8,4.8,0.6,14.0,24.5,,-0.2,0.3,0.1,0.02,,-4.6,3.5,-1.1,0.0,2006,IND,41,41,0.484,6.5,13.8,-1.6,0.1,1.1,0.053,False,10.0,12.0,11.0,5.0,10.0,12.0,12.0,False,False,False,True,False,False,False
15,Samaki Walker,29,7,22,-6.2,0.34700000000000003,0.0,1.0,0.0,15.3,7.9,0.0,0.0,3.3,41.0,10.3,,-0.1,0.0,0.0,-0.091,,-13.9,1.7,-12.2,-0.1,2006,IND,41,41,0.371,7.6,4.5,-7.0,-0.2,-0.1,-0.047,False,14.0,14.0,9.0,12.0,13.0,13.0,13.0,False,False,False,False,False,False,False
16,Jonathan Bender,25,2,21,26.4,0.85,0.0,0.4,0.0,21.3,11.0,18.5,0.0,3.5,0.0,13.0,,0.1,0.0,0.2,0.359,,5.9,3.9,9.8,0.1,2006,IND,41,41,0.422,9.0,8.6,-7.6,-0.1,-0.2,-0.12,False,12.0,13.0,7.0,10.0,14.0,14.0,14.0,False,False,False,False,False,False,False
1,Kirk Hinrich,25,81,2955,15.5,0.528,0.316,0.29100000000000004,1.1,10.0,5.6,28.9,1.6,0.6,13.4,21.4,,4.1,3.5,7.6,0.124,,1.1,0.6,1.8,2.8,2006,CHI,41,41,0.495,6.1,31.5,2.5,3.2,7.2,0.124,False,1.0,12.0,10.0,2.0,1.0,2.0,4.0,True,False,False,True,True,True,True
2,Luol Deng,20,78,2604,15.8,0.517,0.08199999999999999,0.289,5.6,17.1,11.4,9.7,1.4,1.5,8.9,20.4,,2.7,3.8,6.5,0.12,,0.8,0.9,1.6,2.4,2006,CHI,41,41,0.496,10.8,14.8,1.2,1.3,3.0,0.086,False,4.0,11.0,7.0,6.0,4.0,8.0,11.0,True,False,False,False,True,False,False
3,Ben Gordon,22,80,2482,14.5,0.531,0.332,0.233,2.0,8.1,5.1,17.3,1.6,0.2,12.4,26.3,,1.8,2.6,4.4,0.086,,0.7,-0.3,0.5,1.6,2006,CHI,41,41,0.526,6.0,16.3,0.7,1.4,3.5,0.084,False,3.0,9.0,11.0,5.0,5.0,7.0,12.0,True,False,False,True,True,False,False
4,Andrés Nocioni,26,82,2239,16.1,0.5670000000000001,0.28600000000000003,0.29100000000000004,4.6,21.0,12.8,9.0,0.9,1.8,11.3,21.3,,3.3,3.4,6.7,0.14400000000000002,,0.8,0.9,1.7,2.1,2006,CHI,41,41,0.484,11.4,10.9,-2.0,0.0,2.5,0.062,False,10.0,13.0,6.0,7.0,10.0,9.0,13.0,False,False,False,False,False,False,False
5,Chris Duhon,23,74,2155,12.9,0.5379999999999999,0.517,0.266,1.5,10.2,5.9,26.4,1.7,0.1,16.3,15.0,,2.7,2.5,5.2,0.116,,0.0,0.8,0.8,1.5,2006,CHI,41,41,0.471,5.5,28.6,-0.7,0.7,4.1,0.09,False,5.0,14.0,13.0,4.0,7.0,4.0,8.0,True,False,False,True,False,True,False
6,Tyson Chandler,23,79,2121,12.2,0.5670000000000001,0.004,0.682,14.4,24.2,19.3,5.6,1.0,3.8,25.1,10.4,,1.5,3.9,5.4,0.123,,-2.2,1.8,-0.4,0.9,2006,CHI,41,41,0.565,19.8,4.8,1.9,2.1,8.3,0.183,False,2.0,5.0,1.0,14.0,2.0,1.0,1.0,True,True,True,False,True,True,True
7,Darius Songaila,27,62,1329,13.6,0.524,0.01,0.234,6.6,14.6,10.6,11.5,1.4,0.9,13.6,21.3,,0.7,1.8,2.5,0.09,,-1.5,0.4,-1.1,0.3,2006,CHI,41,41,0.5660000000000001,11.5,10.5,-0.9,0.5,4.3,0.124,False,7.0,4.0,5.0,8.0,8.0,3.0,5.0,False,True,True,False,False,True,True
8,Mike Sweetney,23,66,1222,13.9,0.499,0.0,0.459,11.2,21.7,16.5,8.2,0.8,3.6,15.1,23.2,,0.1,2.1,2.1,0.084,,-3.3,0.5,-2.8,-0.3,2006,CHI,41,41,0.5920000000000001,16.3,4.9,-2.5,-0.2,3.8,0.122,False,15.0,1.0,3.0,13.0,15.0,5.0,6.0,False,True,True,False,False,True,False
9,Othella Harrington,32,72,824,11.1,0.53,0.0,0.451,7.6,13.9,10.7,8.0,0.4,1.2,15.7,21.2,,0.2,0.9,1.1,0.063,,-3.4,-0.4,-3.9,-0.4,2006,CHI,41,41,0.5589999999999999,12.8,8.0,-1.3,0.2,3.6,0.135,False,8.0,6.0,4.0,11.0,9.0,6.0,2.0,False,False,True,False,False,False,True
10,Malik Allen,27,54,701,11.5,0.504,0.004,0.154,7.2,15.7,11.5,4.9,1.0,1.8,11.4,19.2,,0.0,1.0,1.0,0.068,,-3.0,0.3,-2.7,-0.1,2006,CHI,41,41,0.518,9.9,4.6,-2.0,0.0,0.5,0.08800000000000001,False,11.0,10.0,8.0,15.0,11.0,12.0,10.0,False,False,False,False,False,False,False
11,Jannero Pargo,26,57,646,9.9,0.455,0.353,0.07200000000000001,1.4,9.4,5.4,24.8,1.9,0.2,16.8,25.3,,-0.9,0.8,-0.1,-0.008,,-2.2,-0.2,-2.4,-0.1,2006,CHI,41,41,0.457,5.8,31.2,-2.0,0.0,0.2,0.023,False,12.0,15.0,12.0,3.0,12.0,14.0,15.0,False,False,False,True,False,False,False
12,Eric Piatkowski,35,29,228,6.2,0.467,0.541,0.08199999999999999,2.0,9.5,5.8,8.8,1.4,0.3,14.8,14.7,,-0.2,0.2,0.1,0.018000000000000002,,-3.8,0.5,-3.4,-0.1,2006,CHI,41,41,0.573,5.3,10.3,1.3,0.7,2.3,0.129,False,6.0,3.0,14.0,9.0,3.0,10.0,3.0,False,True,False,False,True,False,True
13,Luke Schenscher,23,20,149,9.3,0.5670000000000001,0.0,0.5,6.2,16.1,11.2,7.3,0.3,1.6,13.6,11.1,,0.1,0.2,0.3,0.095,,-3.0,1.3,-1.7,0.0,2006,CHI,41,41,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,16.0,16.0,16.0,16.0,16.0,16.0,16.0,False,False,False,False,False,False,False
14,Eddie Basden,22,19,141,10.3,0.471,0.189,0.27,5.7,17.0,11.4,8.8,3.3,1.1,17.9,16.1,,-0.1,0.3,0.2,0.065,,-3.9,3.2,-0.6,0.0,2006,CHI,41,41,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,17.0,17.0,17.0,17.0,17.0,17.0,17.0,False,False,False,False,False,False,False
15,Tim Thomas,28,3,32,8.5,0.406,0.375,0.0,0.0,14.3,7.2,11.0,0.0,2.4,5.9,24.0,,-0.1,0.0,0.0,-0.031,,-1.5,-0.6,-2.1,0.0,2006,CHI,41,41,0.536,7.2,9.7,-2.0,0.0,2.2,0.054000000000000006,False,13.0,8.0,9.0,10.0,13.0,11.0,14.0,False,False,False,False,False,False,False
16,James Thomas,25,7,26,11.7,0.5,0.0,0.0,17.8,17.6,17.7,0.0,0.0,0.0,0.0,10.4,,0.0,0.0,0.1,0.14,,-0.6,-1.7,-2.3,0.0,2006,CHI,41,41,0.581,18.0,5.6,-2.0,0.0,0.2,0.09,False,14.0,2.0,2.0,12.0,14.0,15.0,9.0,False,True,True,False,False,False,False
17,Randy Livingston,30,5,22,-3.0,0.0,0.0,0.0,5.2,15.6,10.4,6.0,2.3,0.0,33.3,6.2,,-0.1,0.0,0.0,-0.045,,-11.9,3.3,-8.6,0.0,2006,CHI,41,41,0.5379999999999999,3.3,32.1,-0.3,0.1,0.4,0.092,False,9.0,7.0,15.0,1.0,6.0,13.0,7.0,False,False,False,True,False,False,False
18,Stephen Graham,23,3,20,2.4,0.425,0.8,0.4,0.0,17.1,8.6,7.1,0.0,0.0,14.5,15.5,,0.0,0.0,0.0,-0.002,,-6.3,-0.6,-7.0,0.0,2006,CHI,41,41,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,18.0,18.0,18.0,18.0,18.0,18.0,18.0,False,False,False,False,False,False,False
19,Randy Holcomb,26,4,11,8.2,1.0,0.0,0.0,10.5,0.0,5.2,0.0,0.0,0.0,0.0,4.1,,0.0,0.0,0.0,0.15,,-1.0,-0.8,-1.7,0.0,2006,CHI,41,41,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,19.0,19.0,19.0,19.0,19.0,19.0,19.0,False,False,False,False,False,False,False
1,Michael Redd,26,80,3130,21.2,0.574,0.272,0.377,2.9,10.2,6.5,13.8,1.6,0.1,8.8,28.3,,8.8,2.0,10.8,0.166,,4.7,-0.9,3.8,4.6,2006,MIL,40,42,0.536,6.4,11.4,1.0,2.2,6.2,0.105,False,1.0,7.0,10.0,7.0,1.0,2.0,4.0,True,False,False,False,True,True,True
2,T.J. Ford,22,72,2557,13.1,0.489,0.132,0.314,2.9,11.7,7.2,29.8,2.1,0.2,19.6,20.0,,0.4,2.1,2.5,0.047,,-1.1,-0.1,-1.2,0.5,2006,MIL,40,42,0.443,6.8,37.4,-2.4,-0.1,0.7,0.022,False,9.0,12.0,9.0,1.0,8.0,9.0,11.0,False,False,False,True,False,False,False
3,Bobby Simmons,25,75,2538,13.8,0.5589999999999999,0.309,0.248,4.2,11.5,7.8,11.2,1.8,0.7,12.1,18.3,,3.3,2.0,5.3,0.101,,0.2,0.1,0.3,1.5,2006,MIL,40,42,0.54,9.6,13.1,0.7,1.9,6.8,0.117,False,2.0,6.0,6.0,5.0,2.0,1.0,2.0,True,False,False,True,True,True,True
4,Jamaal Magloire,27,82,2465,11.1,0.494,0.0,0.541,10.4,27.4,18.8,3.6,0.6,2.6,17.9,17.2,,-0.8,2.9,2.0,0.039,,-3.3,-0.8,-4.1,-1.3,2006,MIL,40,42,0.48,17.3,7.6,-4.4,-0.4,0.3,0.019,False,12.0,11.0,2.0,9.0,11.0,11.0,12.0,False,False,True,False,False,False,False
5,Andrew Bogut,21,82,2348,15.2,0.555,0.005,0.32,9.4,19.8,14.5,13.4,1.1,2.3,15.3,15.9,,3.1,2.4,5.5,0.113,,-0.3,0.7,0.4,1.4,2006,MIL,40,42,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,14.0,14.0,14.0,14.0,14.0,14.0,14.0,False,False,False,False,False,False,False
6,Mo Williams,23,58,1531,15.0,0.518,0.304,0.18,2.3,8.9,5.5,26.1,1.8,0.4,13.4,23.4,,1.5,1.0,2.5,0.079,,0.8,-0.8,0.0,0.8,2006,MIL,40,42,0.504,6.4,35.4,-1.5,0.2,2.2,0.046,False,6.0,9.0,11.0,2.0,7.0,5.0,9.0,False,False,False,True,False,True,False
7,Charlie Bell,26,59,1283,14.7,0.55,0.41,0.217,1.9,9.3,5.6,16.6,2.4,0.3,8.4,17.5,,2.2,1.1,3.3,0.123,,0.1,0.8,1.0,0.9,2006,MIL,40,42,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,15.0,15.0,15.0,15.0,15.0,15.0,15.0,False,False,False,False,False,False,False
8,Toni Kukoč,37,65,1018,11.9,0.491,0.493,0.188,3.0,14.7,8.8,21.5,1.7,1.3,17.0,17.4,,0.2,0.9,1.1,0.053,,-0.3,0.5,0.3,0.6,2006,MIL,40,42,0.523,8.5,22.3,0.6,0.7,1.5,0.066,False,4.0,8.0,7.0,3.0,3.0,7.0,8.0,True,False,False,True,True,False,False
9,Joe Smith,30,44,887,16.1,0.5329999999999999,0.006999999999999999,0.377,10.9,20.1,15.4,6.0,1.4,1.2,10.1,20.4,,1.4,0.9,2.3,0.123,,-1.0,-1.0,-2.0,0.0,2006,MIL,40,42,0.564,14.0,4.9,-0.9,0.6,5.5,0.116,False,5.0,1.0,4.0,11.0,5.0,3.0,3.0,True,True,True,False,True,True,True
10,Dan Gadzuric,27,74,885,17.2,0.55,0.003,0.28800000000000003,12.0,19.3,15.6,4.9,1.5,3.9,9.1,19.8,,1.3,1.1,2.5,0.134,,-1.6,-0.1,-1.7,0.0,2006,MIL,40,42,0.551,22.2,2.7,0.1,1.0,5.2,0.14,False,3.0,3.0,1.0,12.0,4.0,4.0,1.0,True,True,True,False,True,True,True
11,Jiří Welsch,26,58,866,9.8,0.482,0.221,0.392,3.0,12.4,7.6,11.0,2.1,0.1,13.6,15.9,,0.1,0.7,0.8,0.043,,-2.6,0.4,-2.2,0.0,2006,MIL,40,42,0.5429999999999999,7.2,11.6,-1.4,0.2,1.9,0.083,False,7.0,4.0,8.0,6.0,6.0,6.0,6.0,False,True,False,False,False,False,False
12,Jermaine Jackson,29,30,202,8.2,0.544,0.154,0.5379999999999999,4.6,11.4,7.9,17.8,1.0,0.4,28.8,10.2,,0.1,0.1,0.2,0.047,,-2.6,-0.1,-2.7,0.0,2006,MIL,40,42,0.542,5.9,15.5,-3.3,-0.1,0.2,0.046,False,10.0,5.0,12.0,4.0,10.0,12.0,10.0,False,True,False,True,False,False,False
13,Ervin Johnson,38,18,81,3.1,0.419,0.0,0.118,7.2,28.4,17.6,3.7,0.6,2.0,21.9,12.9,,-0.1,0.1,0.0,-0.01,,-9.2,-0.7,-9.9,-0.2,2006,MIL,40,42,0.562,15.7,2.1,-5.4,-0.4,0.8,0.091,False,13.0,2.0,3.0,13.0,12.0,8.0,5.0,False,True,True,False,False,False,True
14,Reece Gaines,25,12,54,6.7,0.472,0.16699999999999998,0.333,0.0,0.0,0.0,8.7,1.0,0.0,6.8,12.5,,0.0,0.0,0.0,0.004,,-3.1,-2.0,-5.1,0.0,2006,MIL,40,42,0.326,2.2,7.7,-8.5,-0.1,-0.2,-0.104,False,11.0,13.0,13.0,8.0,13.0,13.0,13.0,False,False,False,False,False,False,False
15,Josh Davis,25,4,12,5.2,0.25,0.25,0.0,19.4,10.1,14.9,12.5,4.4,0.0,20.0,19.0,,0.0,0.0,0.0,-0.08900000000000001,,-6.3,-0.3,-6.6,0.0,2006,MIL,40,42,0.494,13.5,6.0,-2.4,0.0,0.5,0.079,False,8.0,10.0,5.0,10.0,9.0,10.0,7.0,False,False,True,False,False,False,False
1,Dwyane Wade,24,75,2892,27.6,0.5770000000000001,0.054000000000000006,0.568,4.5,12.6,8.7,33.0,2.6,1.5,13.2,32.5,,10.2,4.2,14.4,0.239,,5.9,1.8,7.7,7.1,2006,MIA,52,30,0.561,7.8,31.0,4.6,4.9,11.0,0.177,False,1.0,3.0,8.0,2.0,2.0,1.0,2.0,True,True,False,True,True,True,True
2,Udonis Haslem,25,81,2491,13.7,0.5579999999999999,0.003,0.337,8.2,21.2,15.0,5.9,1.1,0.5,10.5,14.1,,3.9,3.1,7.0,0.134,,-0.4,-0.1,-0.5,0.9,2006,MIA,52,30,0.588,15.8,6.3,0.4,1.6,9.2,0.165,False,4.0,1.0,3.0,11.0,5.0,3.0,4.0,True,True,True,False,True,True,True
3,Gary Payton,37,81,2305,10.7,0.52,0.42,0.23,1.8,9.7,5.9,16.7,1.6,0.3,14.5,14.1,,1.8,2.3,4.1,0.085,,-1.4,0.5,-0.9,0.6,2006,MIA,52,30,0.537,5.4,29.2,0.4,1.5,5.4,0.102,False,5.0,5.0,11.0,3.0,6.0,4.0,6.0,True,True,False,True,False,True,False
4,Antoine Walker,29,82,2199,14.4,0.524,0.4270000000000001,0.14400000000000002,5.8,16.3,11.3,12.8,1.1,1.0,13.6,23.2,,1.1,2.5,3.6,0.08,,1.1,-0.7,0.4,1.3,2006,MIA,52,30,0.474,13.6,16.8,-0.3,0.9,0.2,0.004,False,6.0,11.0,4.0,5.0,7.0,12.0,12.0,False,False,True,True,False,False,False
5,James Posey,29,67,1914,9.8,0.5720000000000001,0.7340000000000001,0.154,2.1,16.9,9.8,6.8,1.5,0.8,12.1,11.6,,1.8,2.4,4.2,0.104,,-0.8,1.0,0.1,1.0,2006,MIA,52,30,0.5,9.5,10.3,-0.7,0.5,2.3,0.079,False,7.0,9.0,7.0,8.0,8.0,6.0,8.0,False,False,False,False,False,False,False
6,Jason Williams,30,59,1874,15.0,0.561,0.475,0.162,0.4,8.0,4.4,24.5,1.5,0.2,13.3,18.5,,3.2,1.6,4.8,0.124,,1.7,-0.5,1.1,1.5,2006,MIA,52,30,0.522,3.7,35.6,1.4,1.7,4.3,0.106,False,3.0,6.0,12.0,1.0,4.0,5.0,5.0,True,False,False,True,True,True,True
7,Shaquille O'Neal,33,59,1806,24.4,0.586,0.0,0.589,11.7,23.1,17.6,12.4,0.7,4.4,14.3,30.0,,3.3,2.9,6.2,0.16399999999999998,,2.4,0.3,2.7,2.1,2006,MIA,52,30,0.583,17.8,15.7,5.3,4.6,11.0,0.211,False,2.0,2.0,1.0,7.0,1.0,2.0,1.0,True,True,True,False,True,True,True
8,Alonzo Mourning,35,65,1302,19.4,0.615,0.003,0.711,11.8,20.3,16.2,1.4,0.5,10.2,16.0,17.5,,2.1,2.6,4.8,0.17600000000000002,,-0.7,2.5,1.8,1.2,2006,MIA,52,30,0.551,16.9,2.5,2.7,0.3,0.9,0.173,False,8.0,4.0,2.0,13.0,3.0,11.0,3.0,False,True,True,False,True,False,True
9,Jason Kapono,24,51,665,9.0,0.54,0.299,0.18600000000000005,2.2,10.0,6.3,8.6,0.6,0.3,9.5,14.7,,0.7,0.5,1.2,0.085,,-2.3,-0.5,-2.8,-0.1,2006,MIA,52,30,0.486,6.3,7.3,-2.4,-0.1,1.3,0.043,False,12.0,10.0,9.0,10.0,11.0,9.0,11.0,False,False,False,False,False,False,False
10,Shandon Anderson,32,48,638,6.2,0.47,0.151,0.14300000000000002,3.5,11.1,7.5,6.9,1.4,0.7,15.2,11.4,,-0.1,0.7,0.5,0.039,,-4.1,0.4,-3.7,-0.3,2006,MIA,52,30,0.522,9.6,8.8,-1.4,0.2,2.2,0.09,False,9.0,7.0,6.0,9.0,10.0,7.0,7.0,False,False,False,False,False,False,False
11,Derek Anderson,31,23,465,8.7,0.453,0.515,0.292,2.4,12.4,7.6,15.1,0.9,0.3,10.4,16.3,,0.2,0.4,0.6,0.061,,-2.4,-0.7,-3.1,-0.1,2006,MIA,52,30,0.503,6.0,18.9,-1.2,0.2,1.3,0.052000000000000005,False,10.0,8.0,10.0,4.0,9.0,10.0,10.0,False,False,False,True,False,False,False
12,Wayne Simien,22,43,414,11.5,0.541,0.0,0.28300000000000003,11.3,13.6,12.5,2.7,1.6,0.2,15.1,17.7,,0.4,0.5,0.8,0.096,,-3.6,-0.7,-4.3,-0.2,2006,MIA,52,30,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,14.0,14.0,14.0,14.0,14.0,14.0,14.0,False,False,False,False,False,False,False
13,Michael Doleac,28,31,371,9.9,0.484,0.0,0.341,7.6,18.9,13.5,3.2,1.4,1.4,12.2,14.3,,0.1,0.5,0.6,0.079,,-3.6,-0.4,-3.9,-0.2,2006,MIA,52,30,0.46,12.9,6.2,-3.4,-0.4,1.9,0.076,False,13.0,12.0,5.0,12.0,12.0,8.0,9.0,False,False,True,False,False,False,False
14,Gerald Fitch,23,18,239,10.2,0.424,0.292,0.258,3.6,10.9,7.4,21.5,1.5,1.6,13.1,22.0,,-0.1,0.3,0.1,0.026,,-3.2,-0.3,-3.5,-0.1,2006,MIA,52,30,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,15.0,15.0,15.0,15.0,15.0,15.0,15.0,False,False,False,False,False,False,False
15,Dorell Wright,20,20,132,13.2,0.574,0.14,0.395,1.9,25.6,14.3,9.8,1.2,0.6,21.7,22.6,,0.0,0.2,0.2,0.064,,-2.6,0.0,-2.6,0.0,2006,MIA,52,30,0.306,2.2,16.7,-7.2,0.0,-0.1,-0.134,False,11.0,13.0,13.0,6.0,13.0,13.0,13.0,False,False,False,False,False,False,False
16,Earl Barron,24,8,45,-2.8,0.366,0.0,0.25,5.5,20.1,13.1,0.0,0.0,0.0,22.0,23.4,,-0.2,0.0,-0.2,-0.16699999999999998,,-13.4,-4.3,-17.7,-0.2,2006,MIA,52,30,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,16.0,16.0,16.0,16.0,16.0,16.0,16.0,False,False,False,False,False,False,False
17,Matt Walsh,23,2,3,-2.4,0.532,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,44.3,,0.0,0.0,0.0,-0.642,,-8.8,-6.9,-15.7,0.0,2006,MIA,52,30,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,True,17.0,17.0,17.0,17.0,17.0,17.0,17.0,False,False,False,False,False,False,False
1,Gilbert Arenas,24,80,3384,23.8,0.581,0.324,0.479,2.0,7.8,4.8,27.0,2.5,0.6,12.8,30.5,,11.0,2.6,13.6,0.193,,5.4,0.0,5.4,6.3,2006,WAS,42,40,0.565,6.5,22.9,4.2,5.2,11.5,0.16899999999999998,False,1.0,2.0,10.0,2.0,1.0,1.0,1.0,True,True,False,True,True,True,True
2,Antawn Jamison,29,82,3288,17.7,0.518,0.25,0.199,5.7,21.8,13.5,8.7,1.4,0.3,7.8,23.9,,4.9,3.2,8.2,0.119,,2.4,-1.2,1.2,2.7,2006,WAS,42,40,0.506,11.2,10.7,-0.5,1.0,5.4,0.1,False,3.0,8.0,5.0,5.0,4.0,3.0,5.0,True,False,True,True,True,True,True
3,Caron Butler,25,75,2708,17.0,0.535,0.11,0.306,4.8,15.6,10.0,12.1,2.4,0.5,12.4,23.2,,3.5,2.8,6.3,0.112,,0.4,0.1,0.6,1.7,2006,WAS,42,40,0.528,9.2,9.3,-0.7,0.9,5.3,0.093,False,4.0,5.0,8.0,6.0,5.0,4.0,6.0,True,True,False,False,True,True,False
4,Antonio Daniels,30,80,2283,13.7,0.55,0.184,0.611,0.9,8.0,4.4,19.2,1.2,0.3,11.3,15.4,,4.3,0.9,5.3,0.111,,0.1,-0.8,-0.7,0.8,2006,WAS,42,40,0.557,5.1,25.6,2.2,2.2,6.8,0.16,False,2.0,4.0,12.0,1.0,2.0,2.0,2.0,True,True,False,True,True,True,True
5,Jared Jeffries,24,77,1951,11.6,0.5,0.12,0.405,9.5,13.2,11.3,11.6,1.5,2.0,16.8,13.4,,1.4,1.7,3.1,0.076,,-1.1,0.4,-0.8,0.6,2006,WAS,42,40,0.513,10.5,11.6,-1.6,0.2,2.6,0.063,False,7.0,7.0,6.0,4.0,7.0,7.0,10.0,False,False,False,True,False,False,False
6,Brendan Haywood,26,79,1879,13.8,0.542,0.0,0.519,12.0,17.0,14.5,3.9,0.8,4.3,15.5,14.9,,2.0,1.9,3.9,0.099,,-1.5,-0.2,-1.7,0.2,2006,WAS,42,40,0.588,14.0,4.9,-0.1,0.9,5.2,0.134,False,5.0,1.0,3.0,11.0,3.0,5.0,3.0,True,True,True,False,True,True,True
7,Etan Thomas,27,71,1121,13.6,0.56,0.0,0.508,10.0,19.3,14.5,2.0,0.9,4.7,14.5,14.0,,1.2,1.3,2.5,0.107,,-1.8,0.0,-1.7,0.1,2006,WAS,42,40,0.521,14.1,3.3,-4.0,-0.5,1.6,0.079,False,13.0,6.0,2.0,12.0,12.0,10.0,7.0,False,False,True,False,False,False,False
