Year,Team,With Top 5 Players,Total VORP,Total TS%,Total TRB%,Total AST%,Total BPM,Total WS,Total WS/48,Wins,Losses,Total Games,Win %
2001,ATL,True,1.34,61.559999999999995,16.04,27.920000000000005,1.6400000000000001,4.4,0.12179999999999999,25,57,82,0.3048780487804878
2001,BOS,True,2.04,54.0,12.680000000000001,24.54,1.44,5.64,0.1232,36,46,82,0.43902439024390244
2001,CHH,True,1.5799999999999998,54.52000000000001,13.26,25.380000000000003,0.82,6.279999999999999,0.1312,46,36,82,0.5609756097560976
2001,CHI,True,0.8400000000000001,52.14000000000001,12.72,16.38,-0.24,3.3400000000000007,0.1026,15,67,82,0.18292682926829268
2001,CLE,True,1.32,55.22,14.559999999999999,36.220000000000006,1.3599999999999999,4.04,0.12940000000000002,30,52,82,0.36585365853658536
2001,DAL,True,1.7399999999999998,56.720000000000006,14.74,20.18,0.5600000000000002,5.92,0.11359999999999999,53,29,82,0.6463414634146342
2001,DEN,True,1.44,55.94,14.26,24.54,0.6,5.1,0.1214,40,42,82,0.4878048780487805
2001,DET,True,1.44,58.48,16.08,17.8,1.0,5.839999999999999,0.15099999999999997,32,50,82,0.3902439024390244
2001,GSW,True,1.12,55.279999999999994,15.98,24.1,1.26,3.0599999999999996,0.1246,17,65,82,0.2073170731707317
2001,HOU,True,1.46,55.94,15.059999999999999,20.94,1.06,5.02,0.1262,45,37,82,0.5487804878048781
2001,IND,True,1.94,58.24,16.839999999999996,14.419999999999998,2.0,6.34,0.1826,41,41,82,0.5
2001,LAC,True,0.48,53.879999999999995,14.459999999999999,19.419999999999998,-0.17999999999999988,2.16,0.0898,31,51,82,0.3780487804878049
2001,LAL,True,3.5800000000000005,54.36,12.540000000000001,20.700000000000003,3.4800000000000004,8.820000000000002,0.17060000000000003,56,26,82,0.6829268292682927
2001,MIA,True,3.2,57.68000000000001,14.98,25.22,2.94,8.6,0.1666,50,32,82,0.6097560975609756
2001,MIL,True,2.3600000000000003,55.3,13.919999999999998,22.86,1.32,6.919999999999999,0.129,52,30,82,0.6341463414634146
